CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
IAFLA,Lyle Lake,Undetermined,,Lake,Water Feature,LAKE,0c84b724849c20c36d501e571670f259,55.2255555,-112.5016667,72-17-W4,Alberta,1000000,1948-01-06,Alberta Culture and Tourism
IAFLB,Lylich Lake,Undetermined,,Lake,Water Feature,LAKE,0c84b6e3849c20c3095073455ba1db44,55.7319444,-114.5830556,78-4-W5,Alberta,250000,1970-10-27,Alberta Culture and Tourism
IAFLC,Lymburn,Undetermined,,Locality,Populated Place,UNP,0c84b834849c20c3d55250a459fb17c3,55.3472222,-119.7800000,21-73-12-W6,Alberta,250000,1947-10-07,Alberta Culture and Tourism
IAFLD,Lynch Creek,Undetermined,,Creek,Water Feature,RIV,0c84b764849c20c3a8316189c4473dc4,52.2766666,-115.9686111,38-14-W5,Alberta,250000,1941-09-16,Alberta Culture and Tourism
IAFLE,Lynch Lakes,Undetermined,,Lakes,Water Feature,LAKE,0c84b8fd849c20c30f62af868897225e,49.3988889,-113.9552778,22-5-30-W4,Alberta,50000,1942-10-31,Alberta Culture and Tourism
IAFLF,Lyndon,Undetermined,,Locality,Populated Place,UNP,0c84b87a849c20c365bfad0ba9b71c5f,50.0327778,-113.8780556,34-12-29-W4,Alberta,250000,1957-05-02,Alberta Culture and Tourism
IAFLG,Lyndon Creek,Undetermined,,Creek,Water Feature,RIV,0c84baf3849c20c3c938f2b1d7a0370a,49.9761111,-113.8461111,12-29-W4,Alberta,250000,1928-12-31,Alberta Culture and Tourism
IAFLH,Lynn Lake,Undetermined,,Lake,Water Feature,LAKE,0c84b9cd849c20c31bb2a4eea76b83db,52.5222222,-112.7686111,11-41-20-W4,Alberta,250000,1937-06-01,Alberta Culture and Tourism
IAFLJ,Lynnwood,Undetermined,,Urban Community,Populated Place,UNP,4efabae2bbe111d892e2080020a0f4c9,53.5166670,-113.5833300,Edmonton,Alberta,50000,,Alberta Culture and Tourism
IAFLK,Lynton,Undetermined,,Railway Point,Populated Place,UNP,0c84bc04849c20c3356fa05cba3fa714,56.6163889,-111.0827778,8-88-7-W4,Alberta,50000,1944-12-09,Alberta Culture and Tourism
IAFLM,Lynx Creek,Undetermined,,Creek,Water Feature,RIV,0c84bcd6849c20c3bab4af06053e49aa,52.1186111,-115.7475000,36-13-W5,Alberta,250000,1955-01-20,Alberta Culture and Tourism
IAFLN,Lynx Creek,Undetermined,,Creek,Water Feature,RIV,0c84bc6d849c20c3f5961a1ae3aeb89f,52.3044444,-117.5455556,38-25-W5,Alberta,50000,1935-03-05,Alberta Culture and Tourism
IAFLO,Lynx Creek,Undetermined,,Creek,Water Feature,RIV,0c84bd9b849c20c3046aa47477974370,54.2319445,-119.5397222,60-11-W6,Alberta,250000,1958-12-04,Alberta Culture and Tourism
IAFLL,Lynx Creek,Undetermined,,Creek,Water Feature,RIV,0c84bb34849c20c3d5824394dff3805c,49.4500000,-114.4000000,6-4-W5,Alberta,250000,1960-08-04,Alberta Culture and Tourism
